_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,retiredAt,retiredReason,createdAt,data.tangramURLs,data.partnerList,data.roleList,data.name,data.avatar,data.avatarName,data.nameColor,data.postTestGroup,data.postTestFirstSet,data.bonus,data.roomId,data.partner,data.role,data.clicked,data.exitTimeoutId,data.exited
kL89YkgifZ66E3E66,,2022-03-14T19:46:24Z,2022-03-14T19:46:24Z,1,,2022-03-14T19:47:56Z,gameCancelled,,,2022-03-14T19:44:10Z,,,,,,,,,,,,,,,,
sodnu673C7SS8J2HF,,2022-03-14T19:52:42Z,2022-03-14T19:52:42Z,1,,,,,,2022-03-14T19:44:41Z,,,,,,,,,,,,,,,,
Fxzau53zRbT6HH42g,,2022-03-14T19:46:47Z,2022-03-14T19:46:47Z,1,,2022-03-14T19:47:56Z,gameCancelled,,,2022-03-14T19:45:21Z,,,,,,,,,,,,,,,,
ohFLjSW44SzRRB8iz,,2022-03-14T19:50:22Z,2022-03-14T19:50:22Z,1,,,,,,2022-03-14T19:49:55Z,,,,,,,,,,,,,,,,
YKimzGgQgqm9xQZ8m,,2022-03-14T19:50:38Z,2022-03-14T19:50:38Z,1,,2022-03-14T20:03:31Z,custom,,,2022-03-14T19:50:14Z,"/experiment/tangram_A.png,/experiment/tangram_B.png,/experiment/tangram_C.png,/experiment/tangram_D.png","ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM","speaker,speaker,speaker,speaker,listener,listener,listener,listener,speaker,speaker,speaker,speaker,listener,listener,listener,listener,listener,listener,listener,listener,speaker,speaker,speaker,speaker,listener,listener,listener,listener,speaker,speaker,speaker,speaker,listener,listener,listener,listener,speaker,speaker,speaker,speaker,listener,listener,listener,listener,speaker,speaker,speaker,speaker",Minu,/avatars/jdenticon/Alexandra,Alexandra,#D075A7,red,setB,0.15,room1,hmxukt3H7duLkzSer,listener,false,7667,true
ZiLSRSfQR66ZtA7uZ,,2022-03-14T19:52:19Z,2022-03-14T19:52:19Z,1,,2022-03-14T20:03:42Z,custom,,,2022-03-14T19:51:55Z,"/experiment/tangram_A.png,/experiment/tangram_B.png,/experiment/tangram_C.png,/experiment/tangram_D.png","YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer","listener,listener,listener,listener,speaker,speaker,speaker,speaker,listener,listener,listener,listener,speaker,speaker,speaker,speaker,listener,listener,listener,listener,speaker,speaker,speaker,speaker,listener,listener,listener,listener,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,listener,listener,listener,listener,speaker,speaker,speaker,speaker,listener,listener,listener,listener",Laju,/avatars/jdenticon/Cole,Cole,#A9385B,blue,setA,0.12,room0,ENoBr3KunDxjehHYM,listener,false,142,true
hmxukt3H7duLkzSer,,2022-03-14T19:52:29Z,2022-03-14T19:52:29Z,1,,2022-03-14T20:03:42Z,custom,,,2022-03-14T19:52:09Z,"/experiment/tangram_C.png,/experiment/tangram_B.png,/experiment/tangram_D.png,/experiment/tangram_A.png","ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,ENoBr3KunDxjehHYM,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ","listener,listener,listener,listener,speaker,speaker,speaker,speaker,listener,listener,listener,listener,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,listener,listener,listener,listener,speaker,speaker,speaker,speaker,listener,listener,listener,listener,listener,listener,listener,listener,speaker,speaker,speaker,speaker,listener,listener,listener,listener,speaker,speaker,speaker,speaker",Hera,/avatars/jdenticon/Noah,Noah,#A93849,blue,setB,0.24,room1,YKimzGgQgqm9xQZ8m,speaker,false,8153,true
ENoBr3KunDxjehHYM,,2022-03-14T19:53:23Z,2022-03-14T19:53:23Z,1,,2022-03-14T20:03:42Z,custom,,,2022-03-14T19:52:49Z,"/experiment/tangram_D.png,/experiment/tangram_B.png,/experiment/tangram_A.png,/experiment/tangram_C.png","hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,hmxukt3H7duLkzSer,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,ZiLSRSfQR66ZtA7uZ,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m,YKimzGgQgqm9xQZ8m","speaker,speaker,speaker,speaker,listener,listener,listener,listener,speaker,speaker,speaker,speaker,listener,listener,listener,listener,speaker,speaker,speaker,speaker,listener,listener,listener,listener,speaker,speaker,speaker,speaker,listener,listener,listener,listener,speaker,speaker,speaker,speaker,listener,listener,listener,listener,speaker,speaker,speaker,speaker,listener,listener,listener,listener",Repi,/avatars/jdenticon/Kaylee,Kaylee,#A93F39,red,setB,0.21,room0,ZiLSRSfQR66ZtA7uZ,speaker,false,7482,true
gemMBe7e7LSbcNFp6,,2022-03-14T20:13:01Z,2022-03-14T20:13:01Z,1,"instructions,blueH,blueG,blueE,blueF,blueC,blueB,blueD,blueA,ExitSurvey",2022-03-14T20:25:23Z,finished,,,2022-03-14T20:12:17Z,"/experiment/tangram_C.png,/experiment/tangram_D.png,/experiment/tangram_A.png,/experiment/tangram_B.png","LzECgNJgcnwDJXWQu,LzECgNJgcnwDJXWQu,LzECgNJgcnwDJXWQu,LzECgNJgcnwDJXWQu,JsXWYDvoKGWMNwwPf,JsXWYDvoKGWMNwwPf,JsXWYDvoKGWMNwwPf,JsXWYDvoKGWMNwwPf,nkse6SckH4febazrc,nkse6SckH4febazrc,nkse6SckH4febazrc,nkse6SckH4febazrc",,Laju,/avatars/jdenticon/Kayla,Kayla,#57AEC6,red,setB,0,room1,nkse6SckH4febazrc,,false,,
LzECgNJgcnwDJXWQu,,2022-03-14T20:14:16Z,2022-03-14T20:14:16Z,1,"instructions,blueA,blueD,blueB,blueC,blueG,blueF,blueH,blueE,ExitSurvey",2022-03-14T20:25:23Z,finished,,,2022-03-14T20:13:31Z,"/experiment/tangram_A.png,/experiment/tangram_D.png,/experiment/tangram_B.png,/experiment/tangram_C.png","gemMBe7e7LSbcNFp6,gemMBe7e7LSbcNFp6,gemMBe7e7LSbcNFp6,gemMBe7e7LSbcNFp6,nkse6SckH4febazrc,nkse6SckH4febazrc,nkse6SckH4febazrc,nkse6SckH4febazrc,JsXWYDvoKGWMNwwPf,JsXWYDvoKGWMNwwPf,JsXWYDvoKGWMNwwPf,JsXWYDvoKGWMNwwPf",,Minu,/avatars/jdenticon/Katherine,Katherine,#444EA1,red,setA,0,room0,JsXWYDvoKGWMNwwPf,,false,,
nkse6SckH4febazrc,,2022-03-14T20:14:17Z,2022-03-14T20:14:17Z,1,"instructions,blueC,blueB,blueD,blueA,blueF,blueH,blueG,blueE,ExitSurvey",2022-03-14T20:25:23Z,finished,,,2022-03-14T20:13:52Z,"/experiment/tangram_C.png,/experiment/tangram_B.png,/experiment/tangram_A.png,/experiment/tangram_D.png","JsXWYDvoKGWMNwwPf,JsXWYDvoKGWMNwwPf,JsXWYDvoKGWMNwwPf,JsXWYDvoKGWMNwwPf,LzECgNJgcnwDJXWQu,LzECgNJgcnwDJXWQu,LzECgNJgcnwDJXWQu,LzECgNJgcnwDJXWQu,gemMBe7e7LSbcNFp6,gemMBe7e7LSbcNFp6,gemMBe7e7LSbcNFp6,gemMBe7e7LSbcNFp6",,Hera,/avatars/jdenticon/Oliver,Oliver,#5792C8,red,setA,0,room1,gemMBe7e7LSbcNFp6,,false,,
JsXWYDvoKGWMNwwPf,,2022-03-14T20:14:56Z,2022-03-14T20:14:56Z,1,"instructions,blueD,blueB,blueC,blueA,blueE,blueH,blueG,blueF,ExitSurvey",2022-03-14T20:25:23Z,finished,,,2022-03-14T20:14:25Z,"/experiment/tangram_D.png,/experiment/tangram_B.png,/experiment/tangram_C.png,/experiment/tangram_A.png","nkse6SckH4febazrc,nkse6SckH4febazrc,nkse6SckH4febazrc,nkse6SckH4febazrc,gemMBe7e7LSbcNFp6,gemMBe7e7LSbcNFp6,gemMBe7e7LSbcNFp6,gemMBe7e7LSbcNFp6,LzECgNJgcnwDJXWQu,LzECgNJgcnwDJXWQu,LzECgNJgcnwDJXWQu,LzECgNJgcnwDJXWQu",,Repi,/avatars/jdenticon/Aria,Aria,#29828D,blue,setA,0,room0,LzECgNJgcnwDJXWQu,,false,,
XJzxspLu7NCMvTetJ,,,,,,,,,,2022-05-25T20:59:22Z,,,,,,,,,,,,,,,,
rLLHCJhfcCmxiMpBk,,2022-05-25T21:03:09Z,2022-05-25T21:03:09Z,1,,2022-05-25T21:15:07Z,custom,,,2022-05-25T21:00:24Z,"/experiment/tangram_G.png,/experiment/tangram_F.png,/experiment/tangram_H.png,/experiment/tangram_E.png","N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,9aZp6gzQKn87AA5Zn,9aZp6gzQKn87AA5Zn,9aZp6gzQKn87AA5Zn,9aZp6gzQKn87AA5Zn,9aZp6gzQKn87AA5Zn,9aZp6gzQKn87AA5Zn,9aZp6gzQKn87AA5Zn,9aZp6gzQKn87AA5Zn,9aZp6gzQKn87AA5Zn,9aZp6gzQKn87AA5Zn,9aZp6gzQKn87AA5Zn,9aZp6gzQKn87AA5Zn,9aZp6gzQKn87AA5Zn,9aZp6gzQKn87AA5Zn,9aZp6gzQKn87AA5Zn,9aZp6gzQKn87AA5Zn,xpuMg5tjFuN3Tjz2L,xpuMg5tjFuN3Tjz2L,xpuMg5tjFuN3Tjz2L,xpuMg5tjFuN3Tjz2L,xpuMg5tjFuN3Tjz2L,xpuMg5tjFuN3Tjz2L,xpuMg5tjFuN3Tjz2L,xpuMg5tjFuN3Tjz2L,xpuMg5tjFuN3Tjz2L,xpuMg5tjFuN3Tjz2L,xpuMg5tjFuN3Tjz2L,xpuMg5tjFuN3Tjz2L,xpuMg5tjFuN3Tjz2L,xpuMg5tjFuN3Tjz2L,xpuMg5tjFuN3Tjz2L,xpuMg5tjFuN3Tjz2L","listener,listener,listener,listener,speaker,speaker,speaker,speaker,listener,listener,listener,listener,speaker,speaker,speaker,speaker,listener,listener,listener,listener,speaker,speaker,speaker,speaker,listener,listener,listener,listener,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,listener,listener,listener,listener,speaker,speaker,speaker,speaker,listener,listener,listener,listener",Laju,/avatars/jdenticon/Cole,Cole,#A9385B,red,setB,0.15,room1,xpuMg5tjFuN3Tjz2L,listener,false,2141,true
9aZp6gzQKn87AA5Zn,,2022-05-25T21:09:38Z,2022-05-25T21:09:38Z,1,,2022-05-25T21:15:07Z,custom,,,2022-05-25T21:01:39Z,"/experiment/tangram_H.png,/experiment/tangram_E.png,/experiment/tangram_G.png,/experiment/tangram_F.png","xpuMg5tjFuN3Tjz2L,xpuMg5tjFuN3Tjz2L,xpuMg5tjFuN3Tjz2L,xpuMg5tjFuN3Tjz2L,xpuMg5tjFuN3Tjz2L,xpuMg5tjFuN3Tjz2L,xpuMg5tjFuN3Tjz2L,xpuMg5tjFuN3Tjz2L,xpuMg5tjFuN3Tjz2L,xpuMg5tjFuN3Tjz2L,xpuMg5tjFuN3Tjz2L,xpuMg5tjFuN3Tjz2L,xpuMg5tjFuN3Tjz2L,xpuMg5tjFuN3Tjz2L,xpuMg5tjFuN3Tjz2L,xpuMg5tjFuN3Tjz2L,rLLHCJhfcCmxiMpBk,rLLHCJhfcCmxiMpBk,rLLHCJhfcCmxiMpBk,rLLHCJhfcCmxiMpBk,rLLHCJhfcCmxiMpBk,rLLHCJhfcCmxiMpBk,rLLHCJhfcCmxiMpBk,rLLHCJhfcCmxiMpBk,rLLHCJhfcCmxiMpBk,rLLHCJhfcCmxiMpBk,rLLHCJhfcCmxiMpBk,rLLHCJhfcCmxiMpBk,rLLHCJhfcCmxiMpBk,rLLHCJhfcCmxiMpBk,rLLHCJhfcCmxiMpBk,rLLHCJhfcCmxiMpBk,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2","speaker,speaker,speaker,speaker,listener,listener,listener,listener,speaker,speaker,speaker,speaker,listener,listener,listener,listener,speaker,speaker,speaker,speaker,listener,listener,listener,listener,speaker,speaker,speaker,speaker,listener,listener,listener,listener,speaker,speaker,speaker,speaker,listener,listener,listener,listener,speaker,speaker,speaker,speaker,listener,listener,listener,listener",Repi,/avatars/jdenticon/Kaylee,Kaylee,#A93F39,red,setA,0,room0,N5iQCyZEombigD8K2,listener,false,2209,true
xpuMg5tjFuN3Tjz2L,,2022-05-25T21:06:28Z,2022-05-25T21:06:28Z,1,,2022-05-25T21:47:58Z,custom,,,2022-05-25T21:03:13Z,"/experiment/tangram_F.png,/experiment/tangram_G.png,/experiment/tangram_H.png,/experiment/tangram_E.png","9aZp6gzQKn87AA5Zn,9aZp6gzQKn87AA5Zn,9aZp6gzQKn87AA5Zn,9aZp6gzQKn87AA5Zn,9aZp6gzQKn87AA5Zn,9aZp6gzQKn87AA5Zn,9aZp6gzQKn87AA5Zn,9aZp6gzQKn87AA5Zn,9aZp6gzQKn87AA5Zn,9aZp6gzQKn87AA5Zn,9aZp6gzQKn87AA5Zn,9aZp6gzQKn87AA5Zn,9aZp6gzQKn87AA5Zn,9aZp6gzQKn87AA5Zn,9aZp6gzQKn87AA5Zn,9aZp6gzQKn87AA5Zn,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,N5iQCyZEombigD8K2,rLLHCJhfcCmxiMpBk,rLLHCJhfcCmxiMpBk,rLLHCJhfcCmxiMpBk,rLLHCJhfcCmxiMpBk,rLLHCJhfcCmxiMpBk,rLLHCJhfcCmxiMpBk,rLLHCJhfcCmxiMpBk,rLLHCJhfcCmxiMpBk,rLLHCJhfcCmxiMpBk,rLLHCJhfcCmxiMpBk,rLLHCJhfcCmxiMpBk,rLLHCJhfcCmxiMpBk,rLLHCJhfcCmxiMpBk,rLLHCJhfcCmxiMpBk,rLLHCJhfcCmxiMpBk,rLLHCJhfcCmxiMpBk","listener,listener,listener,listener,speaker,speaker,speaker,speaker,listener,listener,listener,listener,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,listener,listener,listener,listener,speaker,speaker,speaker,speaker,listener,listener,listener,listener,listener,listener,listener,listener,speaker,speaker,speaker,speaker,listener,listener,listener,listener,speaker,speaker,speaker,speaker",Hera,/avatars/jdenticon/Noah,Noah,#A93849,red,setA,0,room1,rLLHCJhfcCmxiMpBk,speaker,false,118,true
